"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Academy Manufactor","blc","Near Mint","English","","","2025-02-12 11:20:40.577000","264","False","False","3.00"
"1","1","Academy Manufactor","sld","Near Mint","English","foil","","2025-12-22 19:39:06.887000","2195","False","False",""
"1","1","Academy Ruins","plst","Near Mint","English","","","2025-03-31 14:21:49.867000","2XM-309","False","True",""
"1","1","Academy Ruins","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","58","False","False",""
"2","2","Access Denied","nec","Near Mint","English","","","2024-11-22 20:34:38.470000","11","False","False",""
"2","2","Access Tunnel","stx","Near Mint","English","","","2025-03-31 14:21:49.867000","262","False","True",""
"1","1","Access Tunnel","ltc","Near Mint","English","","","2024-11-22 15:16:38.547000","294","False","False",""
"1","1","Access Tunnel","mkc","Near Mint","German","","","2024-11-22 15:16:12.420000","247","False","False",""
"1","1","Accursed Duneyard","drc","Near Mint","English","","","2025-02-12 11:20:40.577000","20","False","False","8.47"
"1","1","Accursed Duneyard","drc","Near Mint","English","","","2025-02-07 23:56:56.013000","20","False","False",""
"1","1","Ace, Fearless Rebel","who","Near Mint","English","","","2024-11-22 15:16:16.183000","98","False","False",""
"1","1","Ace's Baseball Bat","who","Near Mint","English","","","2024-11-22 15:16:16.183000","170","False","False",""
"1","1","Acidic Slime","m3c","Near Mint","English","","","2024-11-24 19:39:48.927000","218","False","False",""
"2","2","Acidic Soil","usg","Near Mint","English","","","2024-11-22 15:14:01.977000","172","False","True",""
"1","1","Acolyte of Bahamut","clb","Near Mint","English","","","2024-11-22 15:14:01.977000","212","False","True",""
"1","1","Acrobatic Cheerleader","dsk","Near Mint","English","","","2024-11-24 19:39:48.927000","1","False","False",""
"1","1","Adagia, Windswept Bastion","eoe","Near Mint","English","","","2025-07-26 09:56:55.443000","250","False","False","7.21"
"1","1","Adaptive Automaton","fdn","Near Mint","English","foil","","2024-11-22 14:40:56.793000","723","False","False",""
"1","1","Adaptive Automaton","fdn","Near Mint","English","foil","","2024-11-24 18:24:36.417000","723","False","False",""
"1","1","Adaptive Automaton","2xm","Near Mint","English","foil","","2024-11-24 19:39:48.927000","231","False","False",""
"1","1","Adaptive Omnitool","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","16","False","False",""
"2","2","Adaptive Omnitool","drc","Near Mint","English","","","2025-02-12 11:20:40.577000","16","False","False","3.35"
"1","1","Adarkar Wastes","dsc","Near Mint","English","","","2024-11-22 15:20:45.317000","258","False","False",""
"1","1","Adarkar Wastes","drc","Near Mint","English","","","2025-02-07 23:56:56.013000","144","False","False",""
"1","1","Adarkar Wastes","eoc","Near Mint","English","","","2025-07-18 12:42:44.160000","147","False","False",""
"1","1","Adarkar Wastes","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","316","False","False",""
"2","2","Adarkar Wastes","m3c","Near Mint","English","","","2024-11-22 15:14:01.977000","316","False","True",""
"2","2","Adelbert Steiner","fin","Near Mint","German","","","2025-07-26 09:17:37.360000","3","False","False",""
"3","3","Adelbert Steiner","fin","Near Mint","English","","","2025-07-26 09:17:37.360000","3","False","False",""
"1","1","Adelbert Steiner","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","3","False","False","0.08"
"1","1","Adeline, Resplendent Cathar","moc","Near Mint","English","","","2024-11-22 15:14:01.977000","167","False","True",""
"1","1","Adipose Offspring","who","Near Mint","English","","","2024-11-22 15:20:30.043000","10","False","False",""
"1","1","Admiral Beckett Brass","lcc","Near Mint","English","","","2024-11-22 15:15:33.823000","264","False","False",""
"1","1","Admiral Brass, Unsinkable","lcc","Near Mint","English","foil","","2024-11-22 15:15:33.823000","1","False","False",""
"1","1","Adorned Crocodile","tdm","Near Mint","English","","","2025-07-26 09:18:22.063000","69","False","False","0.06"
"1","1","Adorned Crocodile","tdm","Near Mint","English","","","2025-05-06 15:17:00.747000","69","False","False","0.03"
"1","1","Adric, Mathematical Genius","who","Near Mint","English","","","2024-11-22 15:16:16.183000","33","False","False",""
"1","1","Adrix and Nev, Twincasters","c21","Near Mint","English","","","2024-11-22 15:14:01.977000","336","False","True",""
"2","2","Adventurer's Airship","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","252","False","False","0.07"
"3","3","Adventurer's Airship","fin","Near Mint","English","","","2025-12-18 21:24:19.827000","252","False","False",""
"2","2","Adventurer's Inn","fin","Near Mint","English","","","2025-07-26 09:17:37.360000","271","False","False",""
"3","3","Adventurer's Inn","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","271","False","False","0.09"
"1","1","Adventuring Gear","fdn","Near Mint","English","","","2024-11-24 19:39:48.927000","249","False","False",""
"2","2","Aegar, the Freezing Flame","mul","Near Mint","English","foil","","2025-01-15 16:47:17.080000","31","False","False",""
"1","1","Aegis Turtle","fdn","Near Mint","English","","","2024-11-24 19:39:48.927000","150","False","False",""
"1","1","Aerial Guide","hou","Near Mint","English","","","2024-11-24 19:39:48.927000","29","False","False",""
"1","1","Aerial Surveyor","nec","Near Mint","English","","","2024-11-22 20:34:38.470000","5","False","False",""
"1","1","Aerie Auxiliary","mh3","Near Mint","English","","","2024-11-24 19:39:48.927000","18","False","False",""
"1","1","Aerith Gainsborough","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","4","False","False","1.51"
"2","2","Aerith Rescue Mission","fin","Near Mint","English","","","2025-07-26 09:17:37.360000","5","False","False",""
"3","3","Aerith Rescue Mission","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","5","False","False","0.05"
"3","3","Aerith, Last Ancient","fic","Near Mint","English","","","2025-07-26 09:17:37.360000","76","False","False",""
"1","1","Aeronaut Admiral","nec","Near Mint","English","","","2024-11-22 20:34:38.470000","79","False","False",""
"1","1","Aesi, Tyrant of Gyre Strait","dsc","Near Mint","English","","","2024-11-22 15:17:31.903000","210","False","False",""
"2","2","Aesi, Tyrant of Gyre Strait","dsc","Near Mint","English","","","2024-11-22 15:14:01.977000","210","False","True",""
"1","1","Aether Gale","dsc","Near Mint","English","","","2024-11-22 15:17:31.903000","109","False","False",""
"1","1","Aether Hub","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","317","False","False",""
"1","1","Aether Hub","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","145","False","False",""
"1","1","Aether Refinery","m3c","Near Mint","English","","","2025-02-12 11:20:40.577000","106","False","False","0.32"
"2","2","Aether Refinery","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","106","False","False",""
"1","1","Aether Revolt","mh3","Near Mint","English","","","2025-02-21 20:47:46.800000","113","False","False",""
"1","1","Aether Theorist","kld","Near Mint","English","","","2024-11-24 19:39:48.927000","37","False","False",""
"2","2","Aetherblade Agent // Gitaxian Mindstinger","mom","Near Mint","English","foil","","2024-11-22 13:13:39.840000","88","False","False",""
"1","1","Aetherflux Conduit","drc","Near Mint","English","","","2025-02-12 11:20:40.577000","17","False","False","4.24"
"1","1","Aetherflux Conduit","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","17","False","False",""
"1","1","Aethergeode Miner","m3c","Near Mint","English","","","2025-02-12 11:20:40.577000","163","False","False","0.15"
"2","2","Aethergeode Miner","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","163","False","False",""
"1","1","Aetheric Amplifier","drc","Near Mint","English","","","2025-02-12 11:20:40.577000","18","False","False","4.98"
"1","1","Aetheric Amplifier","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","18","False","False",""
"1","1","Aetherize","fdn","Near Mint","English","","","2024-11-24 19:39:48.927000","151","False","False",""
"1","1","Aethersphere Harvester","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","280","False","False",""
"1","1","Aethersquall Ancient","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","68","False","False",""
"1","1","Aethersquall Ancient","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","174","False","False",""
"1","1","Aetherstorm Roc","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","164","False","False",""
"1","1","Aethertide Whale","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","69","False","False",""
"1","1","Aethertide Whale","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","175","False","False",""
"1","1","Aetherwind Basker","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","107","False","False",""
"1","1","Aetherworks Marvel","drc","Near Mint","English","","","2025-02-12 11:20:40.577000","123","False","False","0.34"
"2","2","Aetherworks Marvel","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","281","False","False",""
"1","1","Aetherworks Marvel","drc","Near Mint","English","","","2025-02-07 23:57:06.363000","123","False","False",""
"1","1","Aettir and Priwen","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","253","False","False","4.54"
"1","1","Affectionate Indrik","fdn","Near Mint","English","","","2024-11-24 19:39:48.927000","211","False","False",""
"1","1","Afterburner Expert","dft","Near Mint","English","","","2025-02-12 11:20:40.577000","150","False","False","0.12"
"1","1","Aftermath Analyst","eoc","Near Mint","English","","","2025-07-18 12:41:35.500000","91","False","False",""
"1","1","Agadeem's Awakening // Agadeem, the Undercrypt","znr","Near Mint","English","foil","","2024-11-22 15:14:01.977000","336","False","True",""
"1","1","Agent of Kotis","tdm","Near Mint","English","","","2025-05-06 15:17:00.747000","36","False","False","0.06"
"2","2","Agent of Kotis","tdm","Near Mint","English","","","2025-07-26 09:18:22.063000","36","False","False","0.02"
"1","1","Agent Venom","spm","Near Mint","English","","","2025-09-23 09:54:41.323000","49","False","False",""
"1","1","Aggravated Assault","e02","Near Mint","English","","","2024-11-22 15:16:07.337000","25","False","False",""
"1","1","Aggressive Biomancy","m3c","Near Mint","English","","","2024-11-22 15:17:16.627000","121","False","False",""
"1","1","Aggressive Instinct","gs1","Near Mint","English","","","2024-11-24 19:39:48.927000","34","False","False",""
"1","1","Aggressive Negotiations","tdm","Near Mint","English","","","2025-05-06 15:17:00.747000","70","False","False","0.03"
"1","1","Aggressive Negotiations","tdm","Near Mint","English","","","2025-07-26 09:18:22.063000","70","False","False","0.08"
"1","1","Agitator Ant","mkc","Near Mint","German","","","2024-11-22 15:16:12.420000","145","False","False",""
"1","1","Agonizing Syphon","m20","Near Mint","English","","","2024-11-24 19:39:48.927000","83","False","False",""
"1","1","Agrus Kos, Eternal Soldier","j22","Near Mint","English","","","2025-12-18 21:27:54.407000","1","False","False",""
"1","1","Ahn-Crop Crasher","akh","Near Mint","English","","","2024-11-24 19:39:48.927000","117","False","False",""
"1","1","Ahn-Crop Invader","war","Near Mint","English","","","2024-11-24 19:39:48.927000","113","False","False",""
"3","3","Ahriman","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","87","False","False","0.08"
"4","4","Ahriman","fin","Near Mint","English","","","2025-07-26 09:17:37.360000","87","False","False",""
"2","2","Aid the Fallen","war","Near Mint","English","","","2024-11-22 15:14:01.977000","76","False","True",""
"2","2","Ainok Wayfarer","tdm","Near Mint","English","","","2025-05-06 15:17:00.747000","134","False","False","0.07"
"1","1","Ainok Wayfarer","tdm","Near Mint","English","foil","","2025-07-26 09:18:22.063000","134","False","False","0.18"
"2","2","Ainok Wayfarer","tdm","Near Mint","English","","","2025-07-26 09:18:22.063000","134","False","False","0.15"
"2","2","Air Response Unit","dft","Near Mint","English","foil","","2025-02-12 11:20:40.577000","292","False","False","0.31"
"1","1","Air Response Unit","dft","Near Mint","English","foil","","2025-02-12 11:20:40.577000","1","False","False","0.08"
"2","2","Airship Crash","fin","Near Mint","English","","","2025-07-26 09:17:37.360000","171","False","False",""
"2","2","Airship Crash","fin","Near Mint","German","","","2025-07-26 09:17:37.360000","171","False","False",""
"2","2","Airship Crash","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","171","False","False","0.04"
"1","1","Aisha of Sparks and Smoke","sld","Near Mint","English","","","2024-11-22 11:48:15.790000","430","False","False",""
"2","2","Ajani's Pridemate","fdn","Near Mint","English","","","2024-11-22 14:40:56.793000","135","False","False",""
"1","1","Ajani's Pridemate","fdn","Near Mint","English","","","2024-11-24 18:24:36.417000","293","False","False",""
"1","1","Ajani's Pridemate","fdn","Near Mint","English","","","2024-11-24 18:24:36.417000","135","False","False",""
"2","2","Ajani's Pridemate","fdn","Near Mint","English","","","2024-11-22 14:40:56.793000","293","False","False",""
"1","1","Akki War Paint","neo","Near Mint","English","","","2025-02-12 10:22:28.863000","132","False","True",""
"2","2","Akoum Refuge","ddp","Near Mint","English","","","2024-11-22 15:14:01.977000","67","False","True",""
"1","1","Akroan Crusader","uma","Near Mint","English","","","2024-11-24 19:39:48.927000","121","False","False",""
"1","1","Akroma's Memorial","fut","Near Mint","English","","","2024-11-22 15:14:01.977000","159","False","True",""
"1","1","Akroma's Will","cmr","Near Mint","English","","","2024-11-22 15:14:01.977000","3","False","True",""
"1","1","Akroma's Will","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","165","False","False",""
"2","2","Al Bhed Salvagers","fin","Near Mint","German","","","2025-07-26 09:17:37.360000","88","False","False",""
"1","1","Al Bhed Salvagers","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","88","False","False","0.12"
"5","5","Al Bhed Salvagers","fin","Near Mint","English","","","2025-07-26 09:17:37.360000","88","False","False",""
"1","1","Alacrian Armory","dft","Near Mint","English","foil","","2025-02-12 11:20:40.577000","2","False","False","0.21"
"1","1","Alania's Pathmaker","blb","Near Mint","English","","","2024-11-24 19:39:48.927000","123","False","False",""
"1","1","Alchemist's Gift","m21","Near Mint","English","","","2024-11-24 19:39:48.927000","87","False","False",""
"1","1","Alchemist's Talent","blc","Near Mint","English","","","2024-11-22 15:14:01.977000","22","False","True",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","","","2025-12-18 21:20:05.290000","343","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","","","2024-11-24 19:39:48.927000","115","False","False",""
"1","1","Alesha, Who Smiles at Death","sld","Near Mint","English","","","2025-12-18 21:17:56.880000","1007","False","False",""
"1","1","Alesha's Legacy","tdm","Near Mint","English","","","2025-07-26 09:18:22.063000","72","False","False","0.06"
"1","1","Alexios, Deimos of Kosmos","acr","Near Mint","German","","","2025-02-10 10:19:10.513000","134","False","False",""
"1","1","Alexios, Deimos of Kosmos","acr","Near Mint","German","","","2025-02-12 11:20:40.577000","134","False","False","0.21"
"1","1","Alexios, Deimos of Kosmos","acr","Near Mint","English","foil","","2024-11-24 19:39:48.927000","33","False","False",""
"1","1","Aliban's Tower","hml","Near Mint","English","","","2024-11-24 19:39:48.927000","61b","False","False",""
"1","1","Alibou, Ancient Witness","eoc","Near Mint","English","","","2025-07-18 12:42:44.160000","113","False","False",""
"3","3","Alien Symbiosis","spm","Near Mint","English","","","2025-09-23 09:54:41.323000","50","False","False","0.09"
"1","1","Aligned Hedron Network","bfz","Near Mint","English","","","2024-11-22 15:16:07.337000","222","False","False",""
"1","1","Alisaie Leveilleur","fic","Near Mint","English","","","2025-05-16 12:21:37.797000","9","False","False",""
"1","1","Alistair, the Brigadier","who","Near Mint","English","","","2024-11-22 15:16:16.183000","112","False","False",""
"1","1","All Is Dust","m3c","Near Mint","English","","","2025-03-31 14:21:49.867000","152","False","True",""
"1","1","All of History, All at Once","who","Near Mint","English","","","2024-11-22 15:20:30.043000","34","False","False",""
"1","1","All Will Be One","one","Near Mint","English","","","2025-01-16 19:40:38.033000","118","False","False",""
"1","1","All Will Be One","one","Near Mint","English","","","2025-02-12 11:20:40.577000","118","False","False","10.51"
"1","1","Alley Evasion","aer","Near Mint","English","foil","","2025-01-15 16:35:10.187000","6","False","False",""
"1","1","Alley Evasion","aer","Near Mint","English","","","2025-02-12 11:20:40.577000","6","False","False","0.06"
"1","1","Alley Evasion","aer","Near Mint","English","","","2025-01-15 16:31:49.800000","6","False","False",""
"1","1","Alley Evasion","aer","Near Mint","English","foil","","2025-02-12 11:20:40.577000","6","False","False","0.32"
"1","1","Allosaurus Shepherd","jmp","Near Mint","English","","","2025-09-23 10:09:45.923000","28","False","False",""
"1","1","All-You-Can-Eat Buffet","pf25","Near Mint","English","","","2025-07-02 08:35:10.407000","8","False","False",""
"2","2","Alpharael, Dreaming Acolyte","eoe","Near Mint","English","","","2025-07-30 21:33:35.050000","212","False","False","0.15"
"1","1","Alphinaud Leveilleur","fic","Near Mint","English","","","2025-05-16 12:21:37.797000","33","False","False",""
"1","1","Alpine Moon","m19","Near Mint","English","","","2025-08-23 21:51:52.467000","128","False","False",""
"1","1","Altanak, the Thrice-Called","dsk","Near Mint","English","","","2024-11-24 19:39:48.927000","166","False","False",""
"1","1","Altar of Dementia","brr","Near Mint","English","","","2025-07-30 21:33:35.050000","3","False","False","8.41"
"1","1","Altar of the Brood","ktk","Near Mint","English","","","2024-11-22 15:14:01.977000","216","False","True",""
"1","1","Altered Ego","fic","Near Mint","English","","","2025-05-16 12:21:48.280000","317","False","False",""
"1","1","Amalia Benavides Aguirre","lci","Near Mint","English","","","2025-07-26 09:18:22.063000","299","False","False","0.93"
"9","9","Amazing Acrobatics","spm","Near Mint","English","","","2025-09-23 09:54:41.323000","25","False","False","0.06"
"1","1","Ambition's Cost","c21","Near Mint","English","","","2024-11-22 15:20:33.160000","134","False","False",""
"1","1","Ambrosia Whiteheart","fin","Near Mint","English","","","2025-09-19 09:34:34.773000","6","False","False","0.13"
"1","1","Ambush Wolf","fdn","Near Mint","English","","","2024-11-24 19:39:48.927000","98","False","False",""
"1","1","Ambush Wolf","fdn","Near Mint","English","foil","","2024-11-24 19:39:48.927000","98","False","False",""
"1","1","Aminatou, Veil Piercer","dsc","Near Mint","English","foil","","2024-11-22 15:20:45.317000","1","False","False",""
"1","1","Aminatou's Augury","dsc","Near Mint","English","","","2024-11-22 15:20:45.317000","71","False","False",""
"1","1","Aminatou's Augury","dsc","Near Mint","English","","","2025-03-31 14:21:49.867000","71","False","True",""
"1","1","Amonkhet Raceway","dft","Near Mint","English","foil","","2025-02-12 11:20:40.577000","424","False","False","0.34"
"2","2","Amped Raptor","mh3","Near Mint","English","","","2025-02-12 09:57:14.543000","114","False","False",""
"1","1","Amped Raptor","mh3","Near Mint","English","","","2025-02-12 11:20:40.577000","114","False","False","0.35"
"1","1","Amped Up","unf","Near Mint","English","","","2025-07-26 09:57:00.937000","98","False","False","0.05"
"1","1","Amphin Mutineer","lcc","Near Mint","English","","","2024-11-22 15:15:33.823000","143","False","False",""
"1","1","Amulet of Vigor","wwk","Near Mint","English","","","2024-11-22 15:14:01.977000","121","False","True",""
"1","1","Amy Pond","who","Near Mint","English","","","2024-11-22 15:20:30.043000","75","False","False",""
"1","1","Amy's Home","who","Near Mint","English","","","2024-11-22 15:20:30.043000","566","False","False",""
"1","1","An Incident Has Occurred","unf","Near Mint","English","","","2025-07-26 09:57:00.937000","143","False","False","0.03"
"1","1","An Offer You Can't Refuse","fic","Near Mint","English","","","2025-05-16 12:21:48.280000","267","False","False",""
"1","1","An Offer You Can't Refuse","snc","Near Mint","English","","","2024-11-22 15:14:01.977000","51","False","True",""
"1","1","An Offer You Can't Refuse","snc","Near Mint","English","foil","","2024-11-22 15:14:01.977000","464","False","True",""
"1","1","An Offer You Can't Refuse","snc","Near Mint","English","","","2024-11-22 15:14:01.977000","51","False","True",""
"1","1","An Unearthly Child","who","Near Mint","English","","","2024-11-22 15:16:16.183000","35","False","False",""
"1","1","Anafenza, Unyielding Lineage","tdm","Near Mint","English","","","2025-07-26 09:18:22.063000","327","False","False","0.37"
"1","1","Anafenza, Unyielding Lineage","tdm","Near Mint","English","","","2025-05-06 15:17:00.747000","327","False","False","0.06"
"1","1","Anax, Hardened in the Forge","cmm","Near Mint","English","","","2024-11-24 19:39:48.927000","204","False","False",""
"3","3","Ancestral Anger","inr","Near Mint","English","","","2025-05-06 15:17:00.747000","141","False","False","0.04"
"1","1","Ancestral Anger","vow","Near Mint","English","","","2024-11-24 19:39:48.927000","142","False","False",""
"1","1","Ancestral Blade","2xm","Near Mint","English","","","2025-06-20 12:08:49.990000","3","False","False",""
"1","1","Anchor to Reality","neo","Near Mint","English","","","2024-11-22 20:34:38.470000","45","False","False",""
"1","1","Ancient Animus","cmr","Near Mint","English","","","2024-12-24 20:29:24.520000","215","False","False",""
"1","1","Ancient Brass Dragon","clb","Near Mint","English","","","2025-03-31 14:21:49.867000","111","False","True",""
"1","1","Ancient Bronze Dragon","clb","Near Mint","English","","","2024-11-22 15:14:01.977000","406","False","True",""
"1","1","Ancient Cellarspawn","dsc","Near Mint","English","","","2024-11-22 15:20:45.317000","16","False","False",""
"1","1","Ancient Copper Dragon","hbg","Near Mint","English","","","2024-11-22 15:14:01.977000","174","False","True",""
"1","1","Ancient Den","tsr","Near Mint","English","","","2024-11-22 20:34:38.470000","403","False","False",""
"1","1","Ancient Den","eoc","Near Mint","English","","","2025-07-18 12:42:44.160000","148","False","False",""
"1","1","Ancient Greenwarden","sld","Near Mint","English","","","2025-07-22 18:24:06.300000","2059","False","False",""
"1","1","Ancient Silver Dragon","clb","Near Mint","English","","","2025-03-31 14:21:49.867000","56","False","True",""
"1","1","Ancient Stone Idol","mkc","Near Mint","German","","","2024-11-22 15:16:12.420000","222","False","False",""
"1","1","Ancient Stone Idol","mkc","Near Mint","English","","","2025-03-31 14:21:49.867000","222","False","True",""
"1","1","Ancient Tomb","ltc","Near Mint","English","","","2024-11-22 15:14:01.977000","357","False","True",""
"1","1","Ancient Tomb","wc99","Near Mint","English","","","2024-11-22 15:14:01.977000","kb315","False","True",""
"1","1","Ancient Tomb","uma","Near Mint","English","","","2025-03-31 14:21:49.867000","236","False","True",""
"1","1","Ancient Vendetta","dft","Near Mint","English","foil","","2025-02-12 11:20:40.577000","75","False","False","0.13"
"1","1","And They Shall Know No Fear","40k","Near Mint","English","","","2024-11-22 15:16:41.393000","9","False","False",""
"1","1","Anep, Vizier of Hazoret","j25","Near Mint","English","","","2024-11-24 19:39:48.927000","46","False","False",""
"1","1","Angel of Finality","fdn","Near Mint","English","","","2024-11-22 14:40:56.793000","136","False","False",""
"1","1","Angel of Finality","fdn","Near Mint","English","","","2024-11-24 18:24:36.417000","136","False","False",""
"1","1","Angel of Invention","m3c","Near Mint","English","","","2025-02-12 09:57:14.543000","166","False","False",""
"1","1","Angel of Sanctions","drc","Near Mint","English","","","2025-02-07 23:56:56.013000","62","False","False",""
"1","1","Angel of Serenity","c21","Near Mint","English","","","2024-11-22 15:20:33.160000","83","False","False",""
"1","1","Angel of the Ruins","eoc","Near Mint","English","","","2025-07-18 12:42:44.160000","63","False","False",""
"1","1","Angel of the Ruins","fic","Near Mint","English","","","2025-05-16 12:21:33.833000","229","False","False",""
"1","1","Angel of the Ruins","blc","Near Mint","English","","","2024-11-24 19:39:48.927000","134","False","False",""
"1","1","Angel of the Ruins","mkc","Near Mint","German","","","2024-11-22 15:16:12.420000","55","False","False",""
"1","1","Angel of Vitality","fdn","Near Mint","English","foil","","2024-11-22 14:40:56.793000","706","False","False",""
"1","1","Angel of Vitality","fdn","Near Mint","English","foil","","2024-11-24 18:24:36.417000","706","False","False",""
"2","2","Angelfire Ignition","inr","Near Mint","English","","","2025-05-06 15:17:00.747000","229","False","False","0.20"
"1","1","Angelic Destiny","fdn","Near Mint","English","","","2024-11-22 14:40:56.793000","565","False","False",""
"1","1","Angelic Destiny","fdn","Near Mint","English","","","2024-11-24 18:24:36.417000","565","False","False",""
"2","2","Angelic Purge","inr","Near Mint","English","","","2025-05-06 15:17:00.747000","9","False","False","0.04"
"2","2","Angelic Wall","10e","Near Mint","English","","","2024-11-22 15:14:01.977000","5","False","True",""
"2","2","Angelo","tfin","Near Mint","English","","","2025-07-26 09:17:37.360000","19","False","False",""
"1","1","Angel's Grace","tsr","Near Mint","English","","","2024-11-22 15:14:01.977000","4","False","True",""
"1","1","Anger","ltc","Near Mint","English","","","2024-11-22 15:19:33.827000","210","False","False",""
"1","1","Anger","fic","Near Mint","English","","","2025-05-16 12:21:33.833000","289","False","False",""
"1","1","Angrath's Marauders","lcc","Near Mint","English","","","2024-11-22 15:15:33.823000","215","False","False",""
"1","1","Angry Rabble","spm","Near Mint","English","foil","","2025-09-23 09:54:41.323000","75","False","False","0.28"
"5","5","Angry Rabble","spm","Near Mint","English","","","2025-09-23 09:54:41.323000","75","False","False","0.10"
"1","1","Anguished Unmaking","ltc","Near Mint","English","","","2024-11-22 15:16:38.547000","265","False","False",""
"1","1","Anguished Unmaking","pip","Near Mint","English","foil","","2024-11-22 15:14:01.977000","209","False","True",""
"2","2","Animist's Awakening","ori","Near Mint","English","","","2024-11-22 15:14:01.977000","169","False","True",""
"1","1","Anje's Ravager","voc","Near Mint","English","","","2024-11-24 19:39:48.927000","141","False","False",""
"1","1","Annex Sentry","sch","Near Mint","English","","","2024-11-22 15:24:24.040000","7","False","True",""
"1","1","Annul","eoe","Near Mint","English","foil","","2025-07-30 21:33:35.050000","46","False","False","0.23"
"1","1","Annul","eoe","Near Mint","English","","","2025-07-26 09:56:55.443000","46","False","False","0.18"
"1","1","Annul","eoe","Near Mint","English","","","2025-07-30 21:33:35.050000","46","False","False","0.20"
"1","1","Anointed Procession","akh","Near Mint","English","","","2024-11-22 15:24:24.040000","2","False","True",""
